timestamp,service,level,message,latency_ms,cpu_usage,memory_usage,error_rate,request_count,retry_count,queue_size,incident_type
2026-05-12 18:05:29.156706,api-gateway,INFO,Service operating normally,114.64,45.7,49.26,0.0074,466,0,12,normal
2026-05-12 18:05:29.156706,auth-service,INFO,Service operating normally,91.14,64.38,65.66,0.0056,489,2,14,normal
2026-05-12 18:05:29.156706,payment-service,INFO,Service operating normally,179.67,45.34,52.54,0.0154,541,3,11,normal
2026-05-12 18:05:29.156706,notification-service,INFO,Service operating normally,76.66,23.85,62.29,0.0198,400,3,15,normal
2026-05-12 18:05:29.156706,inventory-service,INFO,Service operating normally,161.01,40.29,67.41,0.0221,437,3,6,normal
2026-05-12 18:05:29.156706,recommendation-engine,INFO,Service operating normally,203.74,50.85,44.0,0.0072,412,1,15,normal
2026-05-12 18:05:29.156706,database,INFO,Service operating normally,81.78,43.33,65.96,0.001,462,2,7,normal
2026-05-12 18:05:29.156706,cache-layer,INFO,Service operating normally,66.25,62.2,29.19,0.0191,495,1,5,normal
2026-05-12 18:06:29.156706,api-gateway,INFO,Service operating normally,111.73,55.85,61.78,0.0184,561,2,16,normal
2026-05-12 18:06:29.156706,auth-service,INFO,Service operating normally,87.38,73.71,47.19,0.0079,673,0,12,normal
2026-05-12 18:06:29.156706,payment-service,INFO,Service operating normally,115.16,41.98,45.48,0.0261,417,3,6,normal
2026-05-12 18:06:29.156706,notification-service,INFO,Service operating normally,150.01,24.79,64.79,0.015,573,0,13,normal
2026-05-12 18:06:29.156706,inventory-service,INFO,Service operating normally,134.76,41.03,57.85,0.0105,575,0,9,normal
2026-05-12 18:06:29.156706,recommendation-engine,INFO,Service operating normally,195.79,39.84,38.88,0.0316,504,4,1,normal
2026-05-12 18:06:29.156706,database,INFO,Service operating normally,45.5,38.84,70.14,0.0,676,4,9,normal
2026-05-12 18:06:29.156706,cache-layer,INFO,Service operating normally,1.0,54.5,64.3,0.0268,357,0,4,normal
2026-05-12 18:07:29.156706,api-gateway,INFO,Service operating normally,114.52,50.68,67.75,0.008,454,1,2,normal
2026-05-12 18:07:29.156706,auth-service,INFO,Service operating normally,93.73,44.35,52.7,0.0188,536,2,7,normal
2026-05-12 18:07:29.156706,payment-service,INFO,Service operating normally,159.49,47.16,47.79,0.0018,517,0,8,normal
2026-05-12 18:07:29.156706,notification-service,INFO,Service operating normally,86.72,38.94,63.51,0.0094,596,2,8,normal
2026-05-12 18:07:29.156706,inventory-service,INFO,Service operating normally,140.85,43.35,55.39,0.0091,525,3,8,normal
2026-05-12 18:07:29.156706,recommendation-engine,INFO,Service operating normally,187.21,42.6,76.7,0.0127,540,2,15,normal
2026-05-12 18:07:29.156706,database,INFO,Service operating normally,70.21,38.5,54.66,0.0,533,1,9,normal
2026-05-12 18:07:29.156706,cache-layer,INFO,Service operating normally,21.56,34.78,43.64,0.0096,514,4,10,normal
2026-05-12 18:08:29.156706,api-gateway,INFO,Service operating normally,119.09,57.83,33.69,0.0,495,1,13,normal
2026-05-12 18:08:29.156706,auth-service,INFO,Service operating normally,105.15,30.39,67.59,0.0198,576,0,13,normal
